KORT;KORT EID AV KUNDE;PRIS BOOKING;MEDLEM;KUNDEID;RESSURS;BESØKSDATO;STARTTID;BESTILLINGSDATO;BESTILLINGSTID;ANTALLRESURSER
<br/>;;NOK 200;yes;5964973;Dropin  - Sukkerbiten;01.05.2022;07:00-08:30;19.04.2022;19.04.2022 12:04;2
Årskort/månedskort   <br/>;Gyldig for angitt antall dager NOK 2 500    Gyldig for angitt antall dager NOK 2 800    Antall ganger     Antall ganger NOK 600    Antall ganger NOK 600    Antall ganger NOK 600    Rabatten er gyldig for et gitt antall dager NOK 200;NOK 0;yes;5502170;Dropin  - Sukkerbiten;01.05.2022;07:00-08:30;28.04.2022;28.04.2022 08:39;1
Gavekort<br/>;;NOK 0;yes;6792250;Dropin  - Sukkerbiten;01.05.2022;07:00-08:30;28.04.2022;28.04.2022 19:18;1
<br/>;;NOK 200;yes;5503728;Dropin  - Sukkerbiten;01.05.2022;07:00-08:30;29.04.2022;29.04.2022 17:18;2
Årskort/månedskort   <br/>;Gyldig for angitt antall dager NOK 2 500;NOK 0;yes;5795128;Dropin  - Sukkerbiten;01.05.2022;07:00-08:30;29.04.2022;29.04.2022 17:38;1
<br/>;;NOK 350;yes;6837254;Dropin  - Sukkerbiten;01.05.2022;07:00-08:30;29.04.2022;29.04.2022 19:10;2
<br/>;;NOK 100;yes;6093708;Dropin  - Sukkerbiten;01.05.2022;07:00-08:30;30.04.2022;30.04.2022 09:52;1
<br/>;;NOK 100;yes;5530369;Dropin  - Sukkerbiten;01.05.2022;07:00-08:30;30.04.2022;30.04.2022 10:46;1
<br/>;Gyldig for angitt antall dager NOK 400;NOK 0;yes;6760793;Dropin  - Sukkerbiten;01.05.2022;07:00-08:30;30.04.2022;30.04.2022 16:27;1
<br/>;;NOK 100;yes;6185648;Dropin  - Sukkerbiten;01.05.2022;07:00-08:30;30.04.2022;30.04.2022 19:00;1
<br/>;;NOK 100;yes;6840665;Dropin  - Sukkerbiten;01.05.2022;07:00-08:30;30.04.2022;30.04.2022 19:00;1
<br/>;Gyldig for angitt antall dager NOK 400    Antall ganger NOK 200;NOK 0;yes;6109520;Dropin  - Sukkerbiten;01.05.2022;07:00-08:30;30.04.2022;30.04.2022 19:41;1
Årskort/månedskort   <br/>;Gyldig for angitt antall dager NOK 400    Rabatten er gyldig for et gitt antall dager NOK 200;NOK 0;yes;6214535;Dropin  - Sukkerbiten;01.05.2022;07:00-08:30;30.04.2022;30.04.2022 20:08;1
